Courier code,Courier name,物流商名称
asendiaapac,Asendia APAC,Asendia APAC
asendiauk,Asendia UK,Asendia UK
fulfillant,Fulfillant (Service Points),Fulfillant (Service Points)
mondialrelay,Mondial Relay,Mondial Relay
anteraja,Anteraja Tracking,Anteraja Tracking
yunda,uda International,韵达国际
sicepat,SiCepat Ekspres,SiCepat Ekspres
amazon_in,Amazon shipping india,Amazon shipping india
swyft,Swyft Logistics,Swyft Logistics
pelican,Pelican,台湾宅配通
bosta,Bosta,Bosta
zim-logistics,ZIM Logistics China,以星物流
flytexpress,FLYT,飞特物流
zyex,ZYEX,众优国际
teleport,Teleport,Teleport
evri,Evri,Evri
kerry-ecommerce,Kerry eCommerce,Kerry eCommerce
alliedexpress,Allied Express,Allied Express
leopardscourier,Leopards Courier,Leopards Courier
aramex-nz,Aramex New Zealand,Aramex New Zealand
cargoexpress,Cargo Express,Cargo Express
amazon_uk,Amazon shipping UK,Amazon shipping UK
lerdex,Lerdex,乐易汇
fulfillzy,Fulfillzy,Fulfillzy
jtexpresssa,J&T Express (SA),J&T Express (SA)
jiuzy,Jiuzeyuan,九泽元
saf,SaFly,吉飞国际物流
ycex,YCEX,永财国际
daraii,daraii,香港全速易物流
burd,Burd,Burd
edpost,ED POST,易德国际
exelot,Exelot,Exelot
sfydexpress,SFYD Express,云速递
wcc,WCC,WCC
ninjavan_int,Ninjavan International,Ninjavan International
mylerz,mylerz,mylerz
sameday-ro,Sameday (RO),Sameday (RO)
morelink,More Link,无限链接
atshealthcare,ATS Healthcare,ATS Healthcare
rhenus,Rhenus Express,Rhenus Express
olvacourier,Olva Courier,Olva Courier
blueex,BlueEx,BlueEx
tracknator,Tracknator,Tracknator
sendeo,Sendeo,Sendeo
araskargo,Aras Kargo,Aras Kargo 
greenbox,GreenBox,GREENBOX
seino,SEINO,西濃运输
17exp,17EXP,17EXP
99minutos,99Minutos,99Minutos
aaa-cooper-transportation,AAA Cooper Transportation,AAA Cooper Transportation
ac-logistics,ac logistics,ac logistics
aci-logistix,ACI Logistix,ACI Logistix
ajex,AJEX,AJEX
aliexpress,AliExpress,全球速卖通
amazon-shipping-amazon-mcf,Amazon Shipping + Amazon MCF,Amazon Shipping + Amazon MCF
ambroexpress,AmbroExpress,AmbroExpress
appleexpress,AppleExpress,AppleExpress
asendia,Asendia,Asendia
averitt-express,Averitt Express,Averitt Express
basl-express,Basl Express,Basl Express
bcd,BCD,佰舱达
best-inc-cn,Best Inc (CN),百世快运 (中国)
better-trucks,Better Trucks,Better Trucks
big-smart,BIG Smart,BIG Smart
bjl,BJL,棒极啦
boxc,BoxC,BoxC
bpost-international,Bpost International,比利时邮政国际
bright-future-supply-chain,Bright Future Supply Chain,前程似锦供应链
bring,Bring,Bring
castle-parcel,Castle Parcel,Castle Parcel
ceva-logistics,CEVA Logistics,CEVA Logistics
citymail-se,CityMail SE,CityMail SE
cj,CJ,促佳
colicoli,Colicoli,Colicoli
conwest-logistics,Conwest Logistics,西征物流
coordinadora,Coordinadora,Coordinadora
cosco-shipping-air,Cosco Shipping Air,中远海运空运
cosex,COSEX,浙江慧合
croatian-post,Croatian Post,Croatian Post
czech-post,Czech Post,Czech Post
daewoo-fastex-courier,Daewoo FastEx Courier,Daewoo FastEx Courier
daraz,Daraz,Daraz
day-&-ross,Day & Ross,Day & Ross
dealfy,Dealfy,Dealfy
deksu,Deksu,德速电商物流
dhl-parcel-spain,DHL Parcel Spain,DHL Parcel Spain
dhlink,DHLink,驼飞侠
dmf,DMF,斗满科技
dor,DOR,哆啦任意门
dpd-at,DPD (AT),DPD (AT)
dpd-be,DPD (BE),DPD (BE)
dpd-gr,DPD (GR),DPD (GR)
dpd-hu,DPD (HU),DPD (HU)
dragonfly,Dragonfly,Dragonfly
dsv,DSV,DSV
dxdelivery,DX,DX
dyj,DYJ,达运佳
eboexp,EBOEXP,鄂宝
emirates-post,Emirates Post,Emirates Post
e-post,E-post,E-post
epost,ePOST (??????),ePOST (??????)
eshipper,eShipper,eShipper
ethiopian-post,Ethiopian Post,Ethiopian Post
fan-courier,FAN Courier,FAN Courier
fastgo,Fastgo,速派快递
flash-express-my,Flash Express (MY),Flash Express (MY)
flash-express-ph,Flash Express (PH),Flash Express (PH)
foxpost,FOXPOST,FOXPOST
franch-express,Franch Express,Franch Express
fstexpress,Fstexpress,Fstexpress
fukuyama-transporting,Fukuyama Transporting (福山通運),福山通运
gande,Gande,贛德
gel-express-logistik,GEL Express Logistik,GEL Express Logistik
geodis,GEODIS,GEODIS
gls-portugal-national,GLS Portugal (National),GLS Portugal (National)
gogo-xpress,GoGo Xpress,GoGo Xpress
gps,GPS,凌曦物流
grupo-ampm,Grupo ampm,Grupo ampm
gti,GTI,跨境易通
gzhy,HUAYA EXPRESS,华亚运通
hailify,Hailify,Hailify
hanjin,Hanjin,Hanjin
haohai,haohai,浩海物流
heping-logistics,Heping Logistics,禾平物流
hepsijet,HepsiJET,HepsiJET
hfd,HFD,HFD
hong-hai-chain,Hong Hai Chain,宏海供应链
ics-courier,ICS Courier,ICS Courier
india-post,India Post,India Post
inpost-es,InPost (ES),InPost (ES)
inpost-it,InPost (IT),InPost (IT)
intelcom-ca,Intelcom (CA),Intelcom (CA)
inter-rapidisimo-inter-rapidsimo,Inter Rapidisimo (INTER RAPID?SIMO),Inter Rapidisimo (INTER RAPID?SIMO)
ithink-logistics,iThink Logistics,iThink Logistics
jtexpress-mx,J&T Express (MX),J&T Express (MX)
jiufang,JiuFang,JiuFang
jp-bh-post,JP BH Post,JP BH Post
jusda-international,Jusda International,准时达
jzgj,JZGJ,嘉至国际
kerry-express-hk,Kerry Express (HK),Kerry Express (HK)
ktd,KTD,KTD
kunyi,KunYi,鲲一
kyd,KYD,跨易达
kye,KYE,跨越速运
kye-cn,KYE (CN),跨越速运 (中国)
lbtx,LBTX,龙本天下
ldgj,LDGJ,领东国际
lingjing,Lingjing,灵境
lion-parcel,Lion parcel,Lion parcel
loggi-express-br,Loggi Express BR,Loggi Express BR
lotte-global-logistics,Lotte Global Logistics,Lotte Global Logistics
magyar-posta,Magyar Posta,Magyar Posta
mcn,MCN,麦链中国
meyer-distribution,Meyer Distribution,Meyer Distribution
mng-kargo,MNG Kargo,MNG Kargo
morning-global,Morning Global,Morning Global
nacex,Nacex,Nacex
naqel,Naqel,Naqel
new-zealand-couriers,New Zealand Couriers,New Zealand Couriers
nextsmartship,NextSmartShip,NextSmartShip
ocs-express,OCS Express,OCS 国际快递
oulala,Oulala,Oulala
pall-ex-uk,Pall-Ex (UK),Pall-Ex (UK)
pantos-logistics-lx-pantos,Pantos Logistics (LX PANTOS),Pantos Logistics (LX PANTOS)
parcelhub,Parcelhub,Parcelhub
piggyship,PiggyShip,PiggyShip
pingdaguoji,Pingdaguoji,平达国际
pkd-express,PKD express,派刻达国际
pos-indonesia,Pos Indonesia,Pos Indonesia
postmedia-parcel-services-bni-pa,Postmedia Parcel Services (BNI Parcel Tracking),Postmedia Parcel Services (BNI Parcel Tracking)
postnl,PostNL,PostNL
pro-carrier,Pro Carrier,Pro Carrier
raben-group,Raben Group,Raben Group
safexpress,Safexpress,Safexpress
saiyascm,Saiyascm,塞亚国际
scaleorder,ScaleOrder,北斗互联
sdh,SDH,闪电猴
sendex,Sendex,Sendex
shibida,SHIBIDA,时必达
shopee-xpress-id,Shopee Xpress (ID),Shopee Xpress (ID)
shopee-xpress-sg,Shopee Xpress (SG),Shopee Xpress (SG)
shopee-xpress-th,Shopee Xpress (TH),Shopee Xpress (TH)
shopeeexpressph,ShopeeExpress(PH),ShopeeExpress(PH)
shopeeexpressvn,ShopeeExpress(VN),ShopeeExpress(VN)
skuare,SKUARE,世宽国际
slovak-parcel-service,Slovak Parcel Service,Slovak Parcel Service
southeastern-freight-lines,Southeastern Freight Lines,Southeastern Freight Lines
speedaf,Speedaf,Speedaf
spx,SPX,SPX
srj,SRJ,思睿捷国际
st-international-express,ST International Express,速通国际快运
super-pack-line,Super Pack Line,Super Pack Line
super-parcel-track,Super Parcel Track,速鹏
swiship-au,Swiship (AU),Swiship (AU)
swiship-ca,Swiship (CA),Swiship (CA)
swiship-de,Swiship (DE),Swiship (DE)
swiship-fr,Swiship (FR),Swiship (FR)
swiship-jp,Swiship (JP),Swiship (JP)
thailand-post,Thailand Post,Thailand Post
